Category,Video ID,Title
Neutral,ZWwlOjjEwQE,Ft.foxy fight+Jumpscare and workshop animation
Neutral,cTs5NTX6rrc,Big foot lefty Workshop Animation
Neutral,6DRS9UmObeY,Funtime Foxy Workshop Animation
Neutral,d_YRiVJ3fxE,Creation showcase
Neutral,V3zVvUnX49Y,Golden Freddy Gameplay + Workshop + Jumpscare
Neutral,3WQrSVhkoSs,Infested Golden Freddy Gameplay + Jumpscare and Workshop Animation
Neutral,qmAnWP1nrnI,Gizmo fight icon unlocked + Jumpscare and workshop animation
Neutral,4BUCOPSiruE,Afton fight + icon unlocked + Workshop and Jumpscare
Neutral,RzBfDvfHrJo,Trash and the gang + Paranormal + Jumpscare + Workshop
Neutral,LQyRe2vXyaU,Starlight Workshop Animation
Neutral,fbiPD0ekoXg,Little Joe Fight jumpscare and getting him full and Workshop Animation
Neutral,W3SkdovJFfw,Toy Bonnie Workshop Animation
Neutral,fH6k_Zk-r3k,Ft.freddy fight icon unlocked + Jumpscares
Neutral,lHJKJzGtGMQ,Afton Workshop Animation
Neutral,2dq0ZtJ230Q,Nightmare BB fight + Workshop Animation and Jumpscare
Neutral,FpHvEZyhcp0,Dog Sunday fight Jumpscare and workshop animation
Bad,KKuAUJvNtIM,all ballora fights+jumscares and workshop animations
Bad,dUtPPVkk51E,All mangle Fights + Jumpscares + Workshop Animations
Bad,CUxk-oywLZ4,Lefty Workshop Animation
Bad,4EONgrPFct4,lefty Gameplay + Jumpscare
Bad,vM4s9L9c4FE,Molten Freddy Workshop Animation
Bad,4_gkeFRDf28,Springbonnie Jumpscares
Bad,U5-IyzEZUEI,Bigfoot Lefty fight icon unlocked and jumpscare
Bad,weDoLasOGtY,8-bit csndellora fight and workshop animation
Bad,PENwUty3VKo,Candy fight + Jumpscare
Bad,qDTVG2GwWHQ,Totem panic Fight and Jumpscare
Bad,rmJ9-64Xizg,Creation Fight + Jumpscare
Bad,eebSvdg3IEg,Lefty with golden freddy cpu fight
Bad,UBYojJHrvOc,Holiday spirit molten freddy fight and suit + icon unlocked
Bad,UQ_PicLf3-0,Springbonnie fight cpu+suit+ unlocked+jumpscare
Bad,GvU3DcsDIQk,Walty Fight and Workshop Animation
Bad,tPmsyLMIu-0,Plushtrap fights + Jumpscares + Workshop Animations
Bad,YIybUrl6g6o,Vs Matt Hard Full game
Bad,V-72zA8e7ic,Woodcarver fight and Workshop animation
Bad,MMd_TKWzNDM,Totem bake skin fight + Workshop Animation and Jumpscare
Bad,x3TPzccAoqg,Lolbit Fight + Jumpscare and Workshop Animation
Bad,7ShaPV8PWUE,Endo-02 Fight and Jumpscare
Bad,PQmpaSu6ITI,Negate Rainbow Freddy Workshop Animation
Bad,RkxPcu8IXh8,Toy Chica Fight with Jumpscare
Bad,Brjxy4wv6MQ,Totem panic Workshop Animation
Bad,as_uUPnfS6g,Toy Bonnie fight and Jumpscare
Bad,w3VEJb0VDJE,All freddy frostbear fights + Jumpscares and Workshop Animations
Bad,lNarTwxAWXc,Molten Freddy fight and Jumpscare
Bad,TxZSZ2z17Lk,Fighting random Animatronics #1
Bad,g9r47lpRRwo,Corruption fight + Workshop Animation and Jumpscare
